Date,Open,High,Low,Close,Adj Close,Volume
2015-08-17,1.820000,1.880000,1.800000,1.800000,1.800000,9062400
2015-08-18,1.790000,1.820000,1.750000,1.800000,1.800000,9751900
2015-08-19,1.800000,1.810000,1.760000,1.800000,1.800000,7441200
2015-08-20,1.790000,1.800000,1.700000,1.700000,1.700000,13745700
2015-08-21,1.680000,1.800000,1.680000,1.780000,1.780000,12529500
2015-08-24,1.690000,1.830000,1.650000,1.750000,1.750000,17217400
2015-08-25,1.820000,1.820000,1.660000,1.660000,1.660000,12097700
2015-08-26,1.690000,1.730000,1.660000,1.720000,1.720000,10715300
2015-08-27,1.740000,1.840000,1.740000,1.780000,1.780000,11839300
2015-08-28,1.750000,1.870000,1.750000,1.850000,1.850000,10924600
2015-08-31,1.820000,1.870000,1.790000,1.810000,1.810000,6516000
2015-09-01,1.770000,1.820000,1.710000,1.710000,1.710000,8470700
2015-09-02,1.750000,1.770000,1.720000,1.770000,1.770000,6306100
2015-09-03,1.760000,1.850000,1.760000,1.790000,1.790000,7154200
2015-09-04,1.760000,1.840000,1.760000,1.820000,1.820000,6725300
2015-09-08,1.850000,1.880000,1.830000,1.880000,1.880000,6009500
2015-09-09,1.900000,1.970000,1.830000,1.850000,1.850000,12612300
2015-09-10,1.840000,1.880000,1.830000,1.840000,1.840000,4290400
2015-09-11,1.880000,2.140000,1.810000,2.010000,2.010000,31010300
2015-09-14,2.000000,2.000000,1.810000,1.820000,1.820000,16458500
2015-09-15,1.840000,1.870000,1.810000,1.860000,1.860000,6524400
2015-09-16,1.870000,1.900000,1.850000,1.890000,1.890000,4928300
2015-09-17,1.900000,1.940000,1.870000,1.890000,1.890000,5831600
2015-09-18,1.870000,1.920000,1.850000,1.870000,1.870000,11814000
2015-09-21,1.870000,1.900000,1.810000,1.810000,1.810000,5377800
2015-09-22,1.800000,1.840000,1.720000,1.730000,1.730000,9975200
2015-09-23,1.760000,1.780000,1.690000,1.700000,1.700000,9649200
2015-09-24,1.680000,1.730000,1.660000,1.720000,1.720000,11247700
2015-09-25,1.750000,1.750000,1.680000,1.710000,1.710000,5644600
2015-09-28,1.690000,1.700000,1.660000,1.660000,1.660000,5693100
2015-09-29,1.670000,1.690000,1.650000,1.670000,1.670000,7005300
2015-09-30,1.700000,1.720000,1.680000,1.720000,1.720000,5739500
2015-10-01,1.770000,1.770000,1.720000,1.740000,1.740000,5531700
2015-10-02,1.760000,1.830000,1.720000,1.830000,1.830000,7146100
2015-10-05,1.820000,1.870000,1.770000,1.800000,1.800000,7595600
2015-10-06,1.800000,1.860000,1.800000,1.830000,1.830000,8558400
2015-10-07,1.820000,1.870000,1.820000,1.860000,1.860000,7859200
2015-10-08,1.870000,1.950000,1.850000,1.930000,1.930000,9198700
2015-10-09,1.920000,1.960000,1.890000,1.960000,1.960000,8629100
2015-10-12,1.960000,1.960000,1.850000,1.870000,1.870000,7686600
2015-10-13,1.870000,1.940000,1.860000,1.920000,1.920000,6698400
2015-10-14,1.920000,1.960000,1.920000,1.950000,1.950000,10184300
2015-10-15,1.970000,2.060000,1.950000,1.970000,1.970000,27327100
2015-10-16,2.000000,2.000000,1.890000,1.940000,1.940000,21544900
2015-10-19,1.910000,2.010000,1.910000,2.010000,2.010000,10670800
2015-10-20,2.000000,2.030000,1.970000,2.020000,2.020000,5584200
2015-10-21,2.020000,2.120000,2.010000,2.100000,2.100000,14944100
